question_id,persona,logit_A,logit_B,logit_C,logit_D,prob_A,prob_B,prob_C,prob_D,chosen_answer
pol_164,persona_conservative,6.39453125,11.9140625,11.0625,8.5234375,0.002736689755693078,0.6828535199165344,0.29140612483024597,0.023003704845905304,B
pol_029,persona_conservative,8.4609375,4.87890625,5.82421875,10.15625,0.15272390842437744,0.004248647019267082,0.010934391990303993,0.8320930600166321,D
pol_007,persona_conservative,8.2265625,5.48828125,11.046875,7.84765625,0.05396250635385513,0.0034903718624264,0.9056038856506348,0.036943260580301285,C
pol_190,persona_conservative,7.90625,5.63671875,8.859375,8.5625,0.17778681218624115,0.018376154825091362,0.4611439108848572,0.3426930606365204,C
pol_071,persona_conservative,12.0234375,7.484375,7.39453125,10.828125,0.7558246850967407,0.008074790239334106,0.007380956318229437,0.22871963679790497,A
pol_063,persona_conservative,8.3984375,8.96875,10.296875,9.7578125,0.07497356832027435,0.13261471688747406,0.5004827380180359,0.2919290065765381,C
pol_058,persona_conservative,8.9140625,8.3828125,5.703125,10.4921875,0.15446282923221588,0.09080401062965393,0.006227755453437567,0.7485054135322571,D
pol_036,persona_conservative,12.609375,8.5625,7.46484375,7.375,0.9721589684486389,0.016990330070257187,0.0056688603945076466,0.0051817577332258224,A
pol_189,persona_conservative,10.796875,6.85546875,6.97265625,10.6171875,0.5328253507614136,0.010347940027713776,0.01163450162857771,0.44519224762916565,A
pol_027,persona_conservative,8.0,10.78125,7.83203125,7.21875,0.05422288551926613,0.8751130700111389,0.04583895951509476,0.024825047701597214,B
pol_174,persona_conservative,4.23828125,11.5859375,5.64453125,7.09765625,0.0006348865572363138,0.9856953024864197,0.0025907333474606276,0.011079161427915096,B
pol_140,persona_conservative,11.6640625,11.578125,9.390625,7.19140625,0.49211961030960083,0.45159435272216797,0.05066747963428497,0.005618504714220762,A
pol_023,persona_conservative,13.8125,6.88671875,5.078125,4.3125,0.998783528804779,0.0009809407638385892,0.00016076093015726656,7.47607700759545e-05,A
pol_152,persona_conservative,4.1171875,7.63671875,10.8359375,5.578125,0.0011535878293216228,0.038955044001340866,0.9549193978309631,0.0049719614908099174,C
pol_109,persona_conservative,5.8828125,10.3984375,7.09375,9.1484375,0.00819754134863615,0.7495396733283997,0.027516113594174385,0.21474671363830566,B
pol_009,persona_conservative,11.390625,7.62109375,6.32421875,9.265625,0.8704729676246643,0.020075606182217598,0.0054883649572730064,0.10396317392587662,A
pol_008,persona_conservative,8.203125,7.20703125,8.3671875,6.9453125,0.3531220257282257,0.13041476905345917,0.41607943177223206,0.10038383305072784,C
pol_024,persona_conservative,4.55078125,3.384765625,7.23046875,8.6484375,0.01314212940633297,0.004095166455954313,0.19161930680274963,0.7911434769630432,D
pol_056,persona_conservative,6.80078125,5.9453125,11.671875,8.2578125,0.007343124598264694,0.003121444024145603,0.9580099582672119,0.031525466591119766,C
pol_060,persona_conservative,8.7734375,9.59375,8.390625,6.11328125,0.24856530129909515,0.5645439028739929,0.16950683295726776,0.017383985221385956,B
pol_164,persona_progressive,3.533203125,10.515625,10.921875,7.19921875,0.0003656070330180228,0.3939506709575653,0.5913900136947632,0.01429370790719986,C
pol_029,persona_progressive,5.7265625,5.90234375,5.55078125,11.4375,0.0032766989897936583,0.003906405530869961,0.002748499857261777,0.9900683760643005,D
pol_007,persona_progressive,6.26171875,11.984375,4.5,6.25390625,0.003248019842430949,0.9929713606834412,0.0005578455748036504,0.003222743747755885,B
pol_190,persona_progressive,8.484375,11.1015625,6.02734375,5.83984375,0.0673225000500679,0.9221261143684387,0.005768795497715473,0.004782498814165592,B
pol_071,persona_progressive,4.21484375,12.9140625,8.484375,6.36328125,0.0001644930598558858,0.9866662621498108,0.011759298853576183,0.0014099448453634977,B
pol_063,persona_progressive,13.34375,6.60546875,7.0859375,5.41015625,0.9965533018112183,0.0011805982794612646,0.0019088293192908168,0.00035726011265069246,A
pol_058,persona_progressive,8.2734375,4.53125,10.9140625,4.09375,0.06639678031206131,0.0015737497014924884,0.9310133457183838,0.001016089110635221,C
pol_036,persona_progressive,5.16796875,6.078125,5.4453125,10.0390625,0.007392738945782185,0.01836881786584854,0.009755604900419712,0.964482843875885,D
pol_189,persona_progressive,5.8046875,11.6484375,7.796875,9.6171875,0.0025083657819777727,0.8655640482902527,0.018390217795968056,0.11353728920221329,B
pol_027,persona_progressive,6.36328125,10.15625,5.16796875,7.5078125,0.020478559657931328,0.9090019464492798,0.006197004113346338,0.06432251632213593,B
pol_174,persona_progressive,2.919921875,12.1796875,5.3203125,6.765625,9.464777394896373e-05,0.9944329857826233,0.0010437266901135445,0.004428718239068985,B
pol_140,persona_progressive,9.2734375,2.1171875,1.2236328125,11.3984375,0.1066780835390091,8.32061268738471e-05,3.404782910365611e-05,0.8932046294212341,D
pol_023,persona_progressive,12.609375,6.85546875,4.9296875,4.20703125,0.9961579442024231,0.0031581916846334934,0.0004603438137564808,0.00022347898629959673,A
pol_152,persona_progressive,6.03125,8.0390625,4.68359375,10.0234375,0.015903277322649956,0.11843185126781464,0.004132443573325872,0.86153244972229,D
pol_109,persona_progressive,11.71875,7.171875,6.77734375,6.5078125,0.9773246645927429,0.010359913110733032,0.006982539314776659,0.005332826636731625,A
pol_009,persona_progressive,4.21875,6.0625,11.609375,7.8046875,0.0006009159842506051,0.003797906218096614,0.9739158749580383,0.021685359999537468,C
pol_008,persona_progressive,10.125,4.765625,5.3125,10.109375,0.5006689429283142,0.0023550691548734903,0.004069194663316011,0.492906779050827,A
pol_024,persona_progressive,5.16796875,4.12890625,7.12109375,10.0234375,0.0073075187392532825,0.0025852990802377462,0.05152302235364914,0.9385841488838196,D
pol_056,persona_progressive,6.39453125,13.4375,6.7265625,8.4375,0.000865884474478662,0.9912482500076294,0.0012068666983395815,0.006678977981209755,B
pol_060,persona_progressive,6.70703125,4.8984375,11.125,6.56640625,0.01177019253373146,0.001928951358422637,0.9760746359825134,0.010226121172308922,C
