question_id,answer_persona_conservative,answer_persona_progressive,is_agreement,is_disagreement
pol_164,B,C,False,True
pol_029,D,D,True,False
pol_007,C,B,False,True
pol_190,C,B,False,True
pol_071,A,B,False,True
pol_063,C,A,False,True
pol_058,D,C,False,True
pol_036,A,D,False,True
pol_189,A,B,False,True
pol_027,B,B,True,False
pol_174,B,B,True,False
pol_140,A,D,False,True
pol_023,A,A,True,False
pol_152,C,D,False,True
pol_109,B,A,False,True
pol_009,A,C,False,True
pol_008,C,A,False,True
pol_024,D,D,True,False
pol_056,C,B,False,True
pol_060,B,C,False,True
